tipo_ruido,sigma_mass_rel,sigma_time,modelo,R_inf,k_rect_alpha,theta,RMSE,R2,AIC,BIC
masa,0.0,0.25,Klimpel,0.8926251944415433,0.025580100057524525,,0.0032209151112009143,0.9997244510283518,-34438.01542892872,-34426.00202723784
masa,0.0,0.25,Gamma,0.8764653124156913,1.907099390457219,137.3277902278681,0.001849661771961604,0.999909159390152,-37766.10190090525,-37748.08179836893
masa,0.01,0.25,Klimpel,0.8929350959667051,0.025569176734968523,,0.0069995195757785265,0.9987008967578419,-29779.407080151886,-29767.393678461005
masa,0.01,0.25,Gamma,0.8781448698892267,1.8843492513553992,135.7818454780084,0.006458572813422899,0.9988943046460683,-30261.167668186372,-30243.14756565005
masa,0.03,0.25,Klimpel,0.8935552928904467,0.025547334598729547,,0.018785970286302286,0.9907291855749705,-23853.819651267517,-23841.806249576635
masa,0.03,0.25,Gamma,0.8815441223522591,1.8400083317267746,132.7720061441087,0.018574628394668335,0.9909396274335525,-23920.725583383017,-23902.705480846696
masa,0.05,0.25,Klimpel,0.8941760161673267,0.025525498449157042,,0.030968919771785366,0.9752326118971743,-20853.577201660337,-20841.563799969455
masa,0.05,0.25,Gamma,0.8849976944510456,1.7971496749119305,129.86704337058305,0.030832025006799726,0.9754592767720591,-20879.168040676977,-20861.147938140657
masa,0.1,0.25,Klimpel,0.8957301368335001,0.02547093404950533,,0.06161806114331718,0.908919917831671,-16724.37577347665,-16712.36237178577
masa,0.1,0.25,Gamma,0.8938760641491775,1.6960237202948103,123.0304424885694,0.06153974893175652,0.9091815764430284,-16731.009577599114,-16712.989475062794
